z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2
0.0,2.2969325002817707,0.0,300.0,0.8494637774960369,0.02852097125845352,0.22636190028815475,3.994902413182092e-17,4.146859725589611e-16,1.0852128091915253e-14,8.195936909384392e-15,6.758507954935274e-14,-1.9841224498528523e-14,0.7451171284533246
0.003,2.2969325002830288,0.0,300.00000000017053,0.8494637774955718,0.028520971258452356,0.2263619002881227,9.543524598177333e-15,1.862155270838449e-19,9.995866999979573e-15,1.524979943453109e-16,1.0064545074722072e-13,-1.9841139735990776e-14,0.7451171284533246
0.0045000000000000005,2.2969325002831034,0.0,300.00000000018065,0.8494637774955444,0.02852097125845223,0.2263619002881208,1.0147898546598401e-14,2.2011897531892804e-20,9.585383591238587e-15,1.933173628550156e-17,1.0260648802063416e-13,-1.9841099145639568e-14,0.7451171284533246
0.006,2.296932500283157,0.0,300.00000000018895,0.849463777495524,0.028520971258451853,0.22636190028811928,1.0597345616581804e-14,1.8354289404683285e-20,9.191710874557252e-15,1.4350212599324306e-17,1.042433482271237e-13,-1.984128428243278e-14,0.7451171284533247
0.0075,2.296932500282955,0.0,300.0000000001969,0.8494637774955991,0.028520971258439953,0.2263619002881213,1.102408942231684e-14,1.7510555870188695e-20,8.814148654252136e-15,1.362278617275533e-17,1.0580517795883537e-13,-1.984147161023104e-14,0.745117128453333
0.00825,2.2969325002787926,0.0,300.00000000020094,0.849463777497138,0.02852097125825091,0.22636190028817726,1.1232903747402069e-14,1.714048190246248e-20,8.629343423057888e-15,1.3332653673833331e-17,1.0656954172361577e-13,-1.984156303650662e-14,0.7451171284534652
0.008812500000000001,2.296932500218822,0.0,300.0000000002074,0.8494637775193172,0.028520971255544345,0.22636190028898864,1.138704313774593e-14,1.6869340023242465e-20,8.492931487058358e-15,1.312160559918924e-17,1.0713375632119445e-13,-1.984163025995041e-14,0.7451171284553599
0.009187499999999998,2.2969324996621188,0.0,300.00000000026847,0.8494637777252003,0.028520971230419776,0.2263619002965252,1.1488833706533487e-14,1.6690763041198917e-20,8.403033786083393e-15,1.2982689471314364e-17,1.0750594366254503e-13,-1.9841674072058972e-14,0.7451171284729475
0.009374999999999998,2.296932497226594,0.0,300.0000000007113,0.8494637786259187,0.02852097112044152,0.22636190032951659,1.1540764213446811e-14,1.660338043255768e-20,8.359031798928928e-15,1.2914717099377166e-17,1.076911820451116e-13,-1.98416906334681e-14,0.7451171285499342
0.009562499999999998,2.296932482213892,0.0,300.00000000525966,0.849463784177996,0.028520970441901716,0.22636190053306654,1.1612720737401833e-14,1.6532811570209776e-20,8.323125722339899e-15,1.2860183569201689e-17,1.0787778264826744e-13,-1.9841618784778288e-14,0.7451171290249238
0.009656249999999998,2.2969324456568048,0.0,300.00000002337947,0.8494637976977323,0.02852096878717294,0.2263619010294561,1.1768981751456135e-14,1.6579224084183836e-20,8.339319479164787e-15,1.2904716587932764e-17,1.0798466898541647e-13,-1.9841009218828786e-14,0.7451171301832628
0.009749999999999998,2.296932314889902,0.0,300.0000001256814,0.849463846058647,0.028520962855166067,0.2263619028089521,1.2898396916944703e-14,1.7244318089328274e-20,8.557721874796017e-15,1.3574204028579522e-17,1.0820872299060817e-13,-1.9835334190915283e-14,0.7451171343357721
0.009843749999999998,2.2969318477204785,0.0,300.00000070327405,0.8494640188297866,0.028520941589626005,0.2263619091882177,2.2221069009662456e-14,2.4049250794048605e-20,1.0042680264141647e-14,2.149407068299473e-17,1.0947034342385035e-13,-1.9783239208096117e-14,0.7451171492220344
0.009937499999999998,2.296930182089186,0.0,300.0000039643509,0.8494646348231902,0.028520865355224426,0.2263619320569944,1.0049181435457609e-13,1.0750054691104775e-19,1.9462492431051884e-14,1.3100117821670677e-16,1.1987864767039032e-13,-1.9305752909017238e-14,0.7451172025875605
0.009984374999999998,2.296927754027664,0.0,300.0000112764843,0.8494655327845575,0.0285207533418238,0.22636196565839806,3.5697324011815987e-13,5.762406715813416e-19,4.28146684323291e-14,7.791067840849769e-16,1.5492215817861504e-13,-1.7605161564617102e-14,0.7451172809992404
0.010031249999999999,2.2969222455510248,0.0,300.0000355747016,0.8494675699719463,0.028520496558397983,0.22636204268610743,1.5633556548627293e-12,3.507620759435861e-18,1.275981443793725e-13,4.918745606371451e-15,3.255890384604419e-13,-8.962801436614742e-15,0.7451174607534822
